UserID,Age,Gender,VRHeadset,Duration,MotionSickness,ImmersionLevel
0,11,Male,HTC Vive,13.318340942128112,3,1
0,47,Male,Oculus Rift,44.445646510235946,10,5
0,65,Female,PlayStation VR,10.381630410467025,10,3
0,43,Female,HTC Vive,46.79967796283985,4,5
0,13,Male,HTC Vive,28.04798669694985,2,4
0,61,Male,PlayStation VR,56.30493081069066,9,1
0,21,Male,Oculus Rift,46.07784611137654,3,2
0,84,Female,HTC Vive,49.903267179748106,2,2
0,18,Male,PlayStation VR,50.76704831463142,10,2
0,29,Female,HTC Vive,13.112669121783874,3,3
0,82,Male,PlayStation VR,36.45256926719705,6,2
0,61,Male,PlayStation VR,27.083774029856855,7,5
0,55,Male,Oculus Rift,58.633342868738914,4,5
0,91,Female,Oculus Rift,28.733684013398374,1,4
0,19,Male,HTC Vive,50.27705485491781,7,5
0,29,Female,PlayStation VR,14.240533305311612,3,5
0,59,Male,PlayStation VR,34.824197608286056,3,3
0,69,Female,Oculus Rift,44.27522618742901,9,2
0,13,Male,PlayStation VR,21.514675485023297,4,4
0,67,Male,PlayStation VR,24.38753633622663,6,3
0,48,Female,HTC Vive,41.72264581780094,3,2
0,55,Female,PlayStation VR,37.351106285606996,3,2
0,38,Male,HTC Vive,48.28560366516003,3,3
0,63,Female,PlayStation VR,14.327803998823722,9,5
0,51,Female,Oculus Rift,14.698056301439783,2,2
0,72,Male,PlayStation VR,32.9250716949851,3,1
0,85,Female,HTC Vive,17.689661615780132,5,5
0,76,Female,PlayStation VR,25.432602512370003,2,3
0,54,Female,PlayStation VR,58.18375111211928,1,5
0,69,Female,Oculus Rift,51.81458398346657,4,5
0,82,Female,Oculus Rift,53.39336260906733,1,5
0,43,Male,PlayStation VR,25.339986895270172,3,4
0,28,Female,Oculus Rift,25.3485088669985,6,1
0,14,Male,PlayStation VR,19.726947915912312,9,4
0,36,Male,PlayStation VR,25.39590884403008,9,2
0,33,Female,HTC Vive,41.80258160813384,9,4
0,96,Male,PlayStation VR,14.515264640876435,4,1
0,80,Female,Oculus Rift,7.291186166361415,8,4
0,59,Male,HTC Vive,57.97286858006102,6,4
0,10,Female,Oculus Rift,34.142751669069206,3,5
0,76,Male,HTC Vive,5.223598766967383,6,5
0,62,Female,HTC Vive,34.00436391127284,6,4
0,33,Female,PlayStation VR,9.503334016694115,10,4
0,37,Male,PlayStation VR,22.78894049455667,9,5
0,16,Male,PlayStation VR,33.93139259536678,1,3
0,55,Female,HTC Vive,38.80348949393546,5,3
0,35,Male,PlayStation VR,53.293313351763885,1,5
0,91,Female,HTC Vive,15.548786336403891,2,5
0,82,Female,Oculus Rift,14.704441959317117,10,5
0,38,Female,PlayStation VR,58.74151167813,6,3
0,51,Male,HTC Vive,51.52118913970761,7,4
0,71,Male,Oculus Rift,5.33948014960359,5,5
0,44,Male,HTC Vive,46.019068741746096,2,5
0,78,Male,PlayStation VR,43.46096715790574,2,1
0,31,Female,HTC Vive,23.403486486261492,6,1
0,55,Female,PlayStation VR,9.56232767866388,1,4
0,86,Female,HTC Vive,21.94688833368143,6,5
0,18,Male,PlayStation VR,5.290322774175608,3,2
0,94,Female,PlayStation VR,47.45600141814284,7,3
0,58,Male,PlayStation VR,59.88452998396509,8,4
0,65,Female,Oculus Rift,46.26750903411638,6,2
0,30,Female,HTC Vive,49.608321610801596,5,2
0,29,Female,Oculus Rift,9.957041775617121,9,3
0,39,Male,Oculus Rift,19.961600843316326,1,4
0,61,Female,HTC Vive,18.999637928866008,4,3
0,86,Female,PlayStation VR,55.12801532933752,9,3
0,66,Female,PlayStation VR,58.22104970637923,6,2
0,35,Male,Oculus Rift,9.016047574333392,8,2
0,88,Male,Oculus Rift,58.71212775487632,7,2
0,22,Male,Oculus Rift,34.57559895251797,3,3
0,64,Female,HTC Vive,48.18518564178966,3,3
0,29,Male,Oculus Rift,48.00159689602739,4,1
0,53,Female,Oculus Rift,36.51274356631511,10,1
0,31,Female,Oculus Rift,45.09483161311199,8,4
0,82,Female,PlayStation VR,42.42471828612464,4,5
0,77,Female,PlayStation VR,48.279823782945634,8,2
0,54,Male,Oculus Rift,47.22154077506803,6,1
0,18,Male,Oculus Rift,29.745332374493934,1,1
0,18,Male,HTC Vive,35.94741347598135,9,5
0,26,Female,PlayStation VR,55.35857565300769,7,3
0,36,Male,Oculus Rift,18.567024730817394,2,3
0,24,Female,HTC Vive,49.707302901930596,10,2
0,100,Male,HTC Vive,58.188054100917924,6,4
0,76,Female,HTC Vive,23.625195452479545,3,5
0,10,Male,HTC Vive,33.72278449867805,3,1
0,59,Female,HTC Vive,35.51457460150389,3,3
0,60,Female,PlayStation VR,9.12386717096492,10,3
0,55,Female,PlayStation VR,24.991137511653307,5,1
0,53,Male,PlayStation VR,50.765401242007265,5,5
0,34,Male,Oculus Rift,28.683128989239563,2,1
0,65,Male,HTC Vive,46.53667274303062,1,3
0,10,Male,HTC Vive,56.67113156818272,9,1
0,79,Male,Oculus Rift,9.232442602507874,3,3
0,86,Male,HTC Vive,24.24050858020844,7,5
0,16,Male,HTC Vive,20.839930554083274,4,2
0,39,Female,Oculus Rift,58.27270793132102,3,4
0,21,Female,Oculus Rift,24.93894747972722,1,5
0,49,Female,PlayStation VR,41.923422366226276,2,3
0,19,Female,HTC Vive,25.16905723454068,10,3
0,84,Female,HTC Vive,43.27565074767066,7,2
0,77,Female,PlayStation VR,49.616137734862676,3,3
0,76,Male,Oculus Rift,15.734901965394078,9,2
0,94,Female,Oculus Rift,50.1282357364283,3,2
0,60,Male,HTC Vive,29.197711462929085,8,3
0,69,Male,HTC Vive,27.630703042382912,9,3
0,61,Male,Oculus Rift,48.67991094865476,6,5
0,49,Female,Oculus Rift,17.092779686719503,7,5
0,82,Male,Oculus Rift,39.55350000308586,1,5
0,16,Male,HTC Vive,15.049137641703751,6,3
0,20,Female,HTC Vive,43.3486395998107,6,5
0,21,Male,PlayStation VR,31.060687058824563,8,3
0,11,Female,PlayStation VR,14.535215506241661,10,3
0,60,Male,HTC Vive,19.050049731529384,2,1
0,66,Female,PlayStation VR,39.01797572289363,2,1
0,21,Female,HTC Vive,9.243363003817429,3,4
0,53,Male,PlayStation VR,47.50624328117252,1,2
0,93,Male,HTC Vive,44.90137043965921,8,1
0,61,Male,HTC Vive,31.93022970539983,1,3
0,14,Male,Oculus Rift,22.93162237162211,8,4
0,35,Female,PlayStation VR,33.33542693184957,10,5
0,56,Female,Oculus Rift,28.74026610307464,2,5
0,30,Female,Oculus Rift,20.30145204442657,1,1
0,37,Male,HTC Vive,35.70617159050277,1,4
0,77,Male,HTC Vive,10.521713958046663,6,2
0,31,Male,PlayStation VR,6.407769475240187,9,3
0,78,Female,PlayStation VR,50.35854033414991,4,5
0,84,Male,PlayStation VR,7.0021742720739475,2,5
0,15,Female,HTC Vive,21.85240783490226,8,2
0,77,Male,PlayStation VR,49.438395017695086,7,1
0,91,Female,PlayStation VR,34.15762533597953,2,5
0,59,Male,Oculus Rift,26.8552311207472,6,2
0,22,Male,HTC Vive,7.9087667050392705,1,3
0,19,Female,PlayStation VR,44.387732428291606,4,2
0,50,Female,PlayStation VR,52.23452815213283,7,5
0,57,Female,PlayStation VR,12.1902072227548,9,2
0,99,Male,Oculus Rift,14.75188405412091,3,4
0,70,Male,HTC Vive,6.515284147058258,10,4
0,16,Female,PlayStation VR,32.3686883681137,1,4
0,44,Female,Oculus Rift,45.50782441966999,6,3
0,34,Male,PlayStation VR,17.172159682945775,5,1
0,31,Female,HTC Vive,58.481169463521354,2,2
0,59,Male,PlayStation VR,22.02054143845688,5,2
0,41,Male,HTC Vive,42.29192934583025,8,3
0,84,Male,PlayStation VR,25.713346296175274,8,1
